A1,A2a,A2a1,A3_1,A3_2,A3_3,A3_4,A3_5,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A4_7,A4_8,A4_9,A5,A5a,A6,A61,B1,B1a,B2,B2a,B3_1,B3_2,B3_3,B3_4,B3_5,B3_6,B3_7,B3_8,B3_9,B3_10,B3_11,B4,B4a,B5,B5a,B6,B6a,B7,B7a,B8,B8a,B9,B10,B102,B103,B104,B105,B11,B111,B112_1,B112_2,B112_3,B112_4,B112_5,B112_6,B112_7,B112_8,B112_9,B112_10,B112_11,B112_12,B112_13,B112_14,B112_15,C1,C1a,C1b,C1c,C1d,C2,C2a,C3,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C5,C61,C61a,C62,C62a,C63,C63a,C64,C64a,C7,C8,C8a,E1,E2,E2Y,E2M,E3,E4,E5,E7,E8a,E8b,code,YY,CC,CITY,ENERGY_CODE,TY,WI
1,,,1,,,,,1,,1,,,,,,,2,,2,3,3,,5,,,,,,,,,1,1,1,1,3,,4,,4,,4,,3,,4,2,,2,3,2,2,1,1,1,,1,,,,,1,,1,,,,,1,15,,3000,200,3,,2,1,,1,,,,2,1,,1,,1,,1,,2,5,,1,10,43,9,3,11,1,1,2,1,110039,2003,1794,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,4,,3,,,,,1,1,1,1,,,,,3,,5,,5,,4,,3,,3,2,,2,,,2,1,1,,,1,,,,,,,1,,,,1,2,50,3,3000,200,6,,3,1,,,1,,,7,1,,1,,1,,1,,3,8,,1,8,,,3,5,1,3,1,2,110041,2012,1987,1,1,1,70
1,,,1,,,,,1,1,1,,,,,,,2,,1,,5,,1,,,,,,,,1,1,1,1,1,6,,8,,6,,4,,3,,1,2,,2,6,2,2,1,1,,,,,,,,1,,,,,,,1,116,,3000,200,8,,6,1,,,,,,1,1,,1,,1,,1,,5,11,,1,8,,,2,11,5,2,2,1,110042,2011,1994,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,3,,3,,,,,1,,,,,,,,4,,6,,3,,4,,3,,2,2,,,,,1,,,,,,,,,,,,,,,,,2,50,3,3000,200,5,,3,1,,,,,,1,1,,1,,1,,1,,6,5,,1,7,,,2,11,1,1,2,1,110043,2010,1987,1,1,1,70
1,,,1,,,,,1,1,,,1,,,,,2,,2,3,2,,3,,,,,,,,1,1,1,1,,3,,2,,3,,5,,5,,2,1,2,,,,2,1,,,,,,,,,,,,,,1,,1,35,,3000,200,3,,4,1,,,,,,1,1,,1,,1,,2,1000,2,5,,1,9,,,3,12,1,1,1,2,110044,2009,1987,1,1,1,70
1,1,,1,,,,,1,,,,1,,,,,2,,2,2,5,,3,,,,,1,,,,1,,,,6,,2,,3,,4,,3,,5,1,1,,,,2,2,1,,,,,,,,,,,,1,,,2,65,3,3000,200,4,,2,1,1,1,,,,1,1,,1,,2,1500,1,,3,10,,,1,,,,,,,,,110045,2011,1987,1,1,1,70
1,,,1,,,,,1,,,,1,,,,,2,,1,,4,,2,,,,,1,1,1,,1,1,,,5,,2,,,,,,,,2,1,1,,,,2,,1,,,,,,,,,,,,,,,2,50,3,3000,200,4,,,,,,,,,1,1,,1,,1,,2,3000,6,9,,1,8,,,2,12,4,1,1,2,110046,2010,1598,1,1,1,70
1,,,1,,,,,,,1,,,,,,,2,,2,2,3,,3,,,,,,,,1,1,1,1,1,4,,2,,2,,5,,3,,2,2,,2,3,1,2,,,,,,,,,,,1,,,,,,2,45,3,3000,200,2,,1,1,,,1,,,1,1,,1,,1,,1,,5,7,,1,9,,,2,11,1,1,1,3,110048,2011,1987,1,1,1,70
1,,,1,,,,,1,,,,,,,,,2,,1,,3,,1,,,,1,1,1,1,,,,,,5,,3,,3,,5,,3,,3,2,,1,1,2,2,,1,,,,,,,,,,,,,,,2,50,3,3000,200,6,,3,1,,,,,,1,1,,1,,1,,1,,2,7,,1,8,,,3,11,3,1,1,2,110049,2014,1987,1,1,1,70
1,,,1,,1,,,1,,,,,,,,,2,,1,,3,,4,,,,,1,1,1,1,,,,,4,,3,,2,,5,,3,,2,2,,1,5,1,2,1,1,1,1,1,,,,,,,,,,,,2,65,3,3000,200,5,,3,1,,,,,,1,1,,1,,1,,1,,5,7,,1,9,,,4,12,1,1,2,1,110050,2011,1798,1,1,1,70
